component,count,scalar_total_us,simd_total_us,speedup,time_saved_us,contribution_pct
rmsnorm,2,19.3,4,4.825,15.3,1.09442
qkv_projections,1,728.5,232.1,3.13873,496.4,35.5079
attention_scores,1,32.4,16,2.025,16.4,1.1731
context_projection,1,36,24,1.5,12,0.858369
output_projection,1,246.2,77.9,3.16046,168.3,12.0386
ffn_expand,1,484.1,155.4,3.11519,328.7,23.5122
activation,1,14.8,1,14.8,13.8,0.987124
ffn_contract,1,481.6,136.7,3.52304,344.9,24.671
others,1,109.8,107.6,1.02045,2.2,0.157368
overall,1,2152.7,754.7,2.85239,1398,100
