stage,count,scalar_total_us,simd_total_us,speedup,time_saved_us,contribution_pct
embedding,1,0.1,0.1,1,0,0
rmsnorm_1,61,557.25,122.3,4.55642,434.95,0.663332
qkv_linear,61,44915.1,22530.9,1.99349,22384.2,34.1376
attention_scores,244,1989.7,992.15,2.00544,997.55,1.52134
attention_softmax,244,749.55,744.65,1.00658,4.9,0.00747288
attention_context,244,2234.05,1495.8,1.49355,738.25,1.12589
attention_projection,61,14978.7,7483.55,2.00154,7495.1,11.4306
residual_1,61,249.3,61.3,4.06688,188,0.286715
rmsnorm_2,61,557.45,122.7,4.54319,434.75,0.663027
ffn_expand,61,29886.5,14959.3,1.99785,14927.1,22.7651
activation,61,1128.6,63.95,17.6482,1064.65,1.62367
ffn_contract,61,29661.8,12946.5,2.29111,16715.3,25.4921
residual_2,61,247.8,61.6,4.02273,186.2,0.283969
logits_projection,1,30,15.05,1.99336,14.95,0.0227999
sampling,1,5,5,1,0,0
overall,61,129142,63571.6,2.03144,65570.4,100
